start_time,end_time,max_time,peak_width,peak_risetime,peak_falltime,peak_flux
135893241.73182502,135896405.73182502,135893483.73182502,1054.9902048195218,241.22408764730062,813.7661171722211,12100.234
135989159.47464,135992429.47464,135990765.47464,3269.6906981662687,1605.1670097998867,1664.523688366382,4478.5947
136010719.57656503,136013706.57656503,136012077.57656503,2987.028086863407,1357.7526444422729,1629.2754424211344,905.2583
136047233.57656503,136047786.57656503,136047327.57656503,553.5336744610686,93.59983343298518,459.9338410280834,936.53796
136054337.57656503,136054973.57656503,136054421.57656503,635.4447229013313,83.03836742381827,552.406355477513,1262.7667
136061105.57656503,136062161.57656503,136061412.57656503,1055.2258718998855,306.0246262671935,749.201245632692,770.5804
136085296.18492,136088130.18492,136085852.18492,704.9302761420604,555.1501407228316,149.78013541922883,4626.7583
136174109.01803002,136176335.01803002,136175447.01803002,1676.0214313592833,1321.4194173547285,354.6020140045548,2697.5364
136256818.75892,136260220.75892,136259131.75892,1193.934196428495,104.67946820809266,1089.2547282204023,505.4996
136281952.75892,136287551.75892,136283288.75892,2643.6409803012903,596.3264139662788,2047.3145663350115,588.3156
136331206.75892,136332293.75892,136331613.75892,1087.1771324656147,406.64594060556556,680.5311918600491,467.3092
136366905.502005,136369296.502005,136367141.502005,1527.5457185263313,235.33941931373374,1292.2062992125975,634.39075
136490550.20247,136494039.20247,136490766.20247,1203.9447586182941,215.32043653551955,988.6243220827746,320.06482
136495932.20247,136497640.20247,136497232.20247,673.0553309205861,264.50440425523266,408.5509266653535,338.7758
136498848.20247,136502223.20247,136501179.20247,1087.0310998341374,43.2739445976913,1043.7571552364461,439.63138
136526861.905555,136536738.905555,136527302.905555,4202.332240163522,440.5834750911299,3761.7487650723924,426.76352
136554900.905555,136559338.905555,136555171.905555,2131.840258802018,270.8926849337622,1860.9475738682559,340.50867
136655407.60223007,136673797.60223007,136672038.60223007,8070.849753630442,6311.129719736746,1759.7200338936964,208.20589
136716046.332085,136718453.332085,136716468.332085,1115.029094087793,421.6627747109669,693.3663193768261,171.58995
136797748.099045,136801869.099045,136800530.099045,1726.3781985513779,386.7558614383015,1339.6223371130764,181.82358
136833337.099045,136850036.099045,136843746.099045,5715.854014844808,4220.542788917141,1495.3112259276677,206.31067
136889404.836175,136890235.836175,136889615.836175,830.3887348245116,210.10971498281106,620.2790198417006,333.9815
136900574.836175,136924412.836175,136904439.836175,10862.518967770604,2443.314273277956,8419.204694492648,300.42548
136989929.58920503,137006628.58920503,136996947.58920503,6418.183099937993,3099.6691585044973,3318.5139414334953,104.86075
137022468.58920503,137028391.58920503,137025484.58920503,973.9621855239893,513.5758529660161,460.3863325579732,169.2474
137052465.332605,137056471.332605,137052885.332605,548.6624162874214,419.1360797499219,129.52633653749945,275.7787
137058053.332605,137070819.332605,137059602.332605,4816.132797509059,30.792669111526266,4785.340128397533,220.82367
137099215.332605,137106322.332605,137099705.332605,3099.392033417462,489.8775450401554,2609.5144883773064,252.41043
137110350.332605,137116570.332605,137114843.332605,2202.8041119340123,2025.8049272116477,176.9991847223646,237.58858
137184766.07632902,137187803.07632902,137185492.07632902,1439.2750811721999,725.112323888945,714.1627572832549,41618.1
137267589.82915998,137273265.82915998,137270776.82915998,1532.190067644373,686.9935208771385,845.1965467672344,11908.327
137305991.57627505,137306873.57627505,137306245.57627505,882.1768173271448,253.30842543328254,628.8683918938623,2824.5488
137338786.57627505,137349694.57627505,137342737.57627505,4192.419963052249,1435.4607362597126,2756.9592267925364,3632.043
137413443.315995,137419819.315995,137415728.315995,2118.1275269822927,559.8230676705134,1558.3044593117793,508.70123
137473026.10391903,137480073.10391903,137477308.10391903,1723.588762121929,717.6999097227317,1005.8888523991973,678.0555
137485142.10391903,137497969.10391903,137494113.10391903,3183.0841879288837,1874.458735431348,1308.6254524975357,767.68774
137548812.87242007,137549032.87242007,137548856.87242007,210.2997373985751,43.30097476710469,166.9987626314704,139.57146
137551616.87242007,137551933.87242007,137551691.87242007,316.26240305720853,74.08945981554666,242.17294324166187,141.58195
137552241.87242007,137555092.87242007,137555037.87242007,292.67202307098887,236.72945552587566,55.94256754511321,123.573524
137555144.87242007,137555800.87242007,137555612.87242007,655.3049662550009,467.0481964828207,188.25676977218018,131.4817
137558149.87242007,137558425.87242007,137558238.87242007,275.97197193301326,88.12710221418502,187.84486971882825,138.37491
137559049.87242007,137559310.87242007,137559213.87242007,261.4691518132672,163.7511294847186,97.71802232854861,164.30745
148263303.70090002,148274429.70090002,148273103.70090002,11125.326613911857,9799.162287649533,1326.1643262623238,1686.2245
148304748.70090002,148314389.70090002,148307948.70090002,8970.964661393395,2529.7792187500017,6441.185442643393,1260.758
148321989.70090002,148323386.70090002,148322432.70090002,1397.6368718677477,442.927726784088,954.7091450836597,1176.4159
148325793.70090002,148327408.70090002,148326929.70090002,1615.256190591972,1135.8136698418966,479.44252075007535,1271.802
148527283.04735902,148534012.04735902,148529911.04735902,6727.755052158059,2627.66992486909,4100.085127288969,490.80673
148623414.79671997,148625687.79671997,148624233.79671997,2273.525026457746,818.9735664728851,1454.5514599848611,7708.5854
148785106.28822902,148785991.28822902,148785341.28822902,885.4695637174746,234.93064600064736,650.5389177168272,2650.472
148986109.640095,148987501.640095,148986547.640095,1391.392281205357,437.301420130927,954.09086107443,2412.8232
148996284.640095,148996901.640095,148996417.640095,617.4592643227879,132.45964346970868,484.99962085307925,3054.9614
149019818.640095,149020747.640095,149020130.640095,929.7865835411358,311.81473183853086,617.9718517026049,2101.823
149142954.713655,149144601.713655,149143382.713655,1646.9064725955504,427.36529274219356,1219.5411798533569,31538.008
149181887.713655,149183405.713655,149182147.713655,819.0065603525582,259.891506312415,559.1150540401431,23544.81
149237923.412104,149238445.412104,149238089.412104,522.1147465418435,165.83481973402013,356.27992680782336,4872.3403
149514204.45421,149517810.45421,149514382.45421,3604.863062443117,177.05591333507618,3427.807149108041,936.37946
149519805.45421,149523793.45421,149520139.45421,3988.818347504908,333.8682240481212,3654.950123456787,890.1035
149542558.45421,149549355.45421,149543187.45421,6109.726010311308,628.1224635132821,5481.6035467980255,820.4369
149578363.157094,149589953.157094,149582096.157094,11589.345697929268,3732.3413488080296,7857.004349121238,3099.4304
149652881.87032998,149653710.87032998,149653113.87032998,828.7743620040264,231.09670118531267,597.6776608187138,2345.7847
149723581.87032998,149724541.87032998,149723780.87032998,960.3842854969116,198.42933812849515,761.9549473684165,4548.4736
149726447.87032998,149727126.87032998,149726707.87032998,678.4095578460838,259.29191078725853,419.11764705882524,3231.5588
150085962.62871003,150091606.62871003,150088281.62871003,4973.639595545523,2318.880828192958,2654.758767352565,1754.8771
150201243.471805,150207309.471805,150204413.471805,6065.230174590375,3169.1794161306316,2896.0507584597435,497.15793
150230490.471805,150237301.471805,150232089.471805,6810.046287098536,1598.0406650190998,5212.005622079436,584.7383
150245823.471805,150247510.471805,150246817.471805,1687.2979736594716,993.7923076923034,693.5056659671682,465.16412
150460036.87167007,150464117.87167007,150462540.87167007,3337.690555511217,1759.8892381167316,1577.8013173944855,3649.6797
150493210.87167007,150497426.87167007,150494268.87167007,4215.675757922581,1057.7397489539726,3157.936008968609,4687.5933
150532330.66065496,150534472.66065496,150532764.66065496,2141.793133793675,433.60764408110845,1708.1854897125668,21492.26
150774285.12690002,150774636.12690002,150774421.12690002,351.3959241024031,135.95572848416396,215.44019561823916,1781.1954
150774227.12690002,150783059.12690002,150777945.12690002,8832.747265717071,3717.842473341305,5114.904792375766,1717.4047
150825593.12690002,150826606.12690002,150825761.12690002,1013.2309776744587,167.80094395785272,845.430033716606,1100.49
150921015.926885,150922287.926885,150921224.926885,1271.9956611577727,208.2097668828501,1063.7858942749226,1759.2026
150932779.926885,150935240.926885,150933970.926885,2460.9138072367496,1190.333928571432,1270.5798786653177,2511.055
150946363.71271998,150947108.71271998,150946495.71271998,745.1674905800955,131.55322949979563,613.6142610802999,3714.0667
150950536.71271998,150955229.71271998,150951902.71271998,3900.9882932544606,573.3018809385303,3327.6864123159303,3354.8323
151221250.03695402,151221786.03695402,151221481.03695402,535.8064736579363,230.36640886826353,305.44006478967276,380.4271
151222802.03695402,151223422.03695402,151223021.03695402,619.9958075957402,218.34582923470225,401.64997836103794,384.2234
151536568.055999,151540575.055999,151538192.055999,1603.12086397854,838.1694446873662,764.9514192911738,752.31213
151565989.81978506,151567437.81978506,151566181.81978506,1447.7809129112538,191.5720060877793,1256.2089068234745,1122.1765
151570893.81978506,151571911.81978506,151571176.81978506,1017.8533397212304,282.1476727377849,735.7056669834456,1366.8132
151599985.81978506,151602731.81978506,151600543.81978506,2746.2360685598833,557.548788451626,2188.6872801082573,1708.3915
151697700.58499,151709682.58499,151699326.58499,10160.077554122465,1624.7299444486707,8535.347609673794,1830.2136
151857880.10343003,151871426.10343003,151870718.10343003,9005.697857880696,8296.837796650529,708.860061230167,1455.1904
152083842.330204,152089379.330204,152086135.330204,3450.3040722562528,2292.0898191726537,1158.214253083599,13691.616
152939117.99748498,152945245.99748498,152941855.99748498,1454.1812830877252,477.8199469114634,976.3613361762618,2397.4766
